,exchange,mic
0,NASDAQ,XNAS
1,New York Stock Exchange Inc.,XNYS
2,-,None
3,Cboe BZX formerly known as BATS,None
4,Index And Options Market,None
5,Six Swiss Exchange Ag,XSWX
6,Xetra,XETR
7,Euronext Amsterdam,XAMS
8,London Stock Exchange,XLON
9,Tokyo Stock Exchange,XJPX
10,Nyse Euronext - Euronext Paris,XEUN
11,Hong Kong Exchanges And Clearing Ltd,XHKC
12,Omx Nordic Exchange Copenhagen A/S,XCSE
13,Asx - All Markets,XASX
14,Bolsa De Madrid,XMAD
15,Borsa Italiana,XMIL
16,Nyse Euronext - Euronext Brussels,XBRU
17,Nasdaq Omx Nordic,None
18,Irish Stock Exchange - All Market,XDUB
19,Nasdaq Omx Helsinki Ltd.,None
20,Singapore Exchange,None
21,Oslo Bors Asa,None
22,Nyse Euronext - Euronext Lisbon,XLIS
23,Tel Aviv Stock Exchange,XTAE
24,New Zealand Exchange Ltd,XNZE
25,SIX Swiss Exchange,XSWX
26,Wiener Boerse Ag,XWBO
27,NGM,XNGM
28,Asx - Trade24,XASX
29,IFLL,None
30,Osaka Securities Exchange,XKAC
31,Eurex Deutschland,XEUR
32,Nyse Mkt Llc,XNYS
33,Taiwan Stock Exchange,XTAI
34,Korea Exchange (Stock Market),XKRX
35,National Stock Exchange Of India,XNSE
36,Johannesburg Stock Exchange,XJSE
37,XBSP,None
38,Standard-Classica-Forts,None
39,Qatar Exchange,None
40,Indonesia Stock Exchange,None
41,Saudi Stock Exchange,None
42,Bolsa Mexicana De Valores,None
43,Shanghai Stock Exchange,None
44,Stock Exchange Of Thailand,None
45,Bursa Malaysia,None
46,Abu Dhabi Securities Exchange,None
47,Shenzhen Stock Exchange,None
48,Warsaw Stock Exchange/Equities/Main Market,None
49,Budapest Stock Exchange,None
50,Dubai Financial Market,None
51,Egyptian Exchange,None
52,Philippine Stock Exchange Inc.,None
53,Korea Exchange (Kosdaq),None
54,Santiago Stock Exchange,None
55,Istanbul Stock Exchange,None
56,Athens Exchange S.A. Cash Market,None
57,Bolsa De Valores De Colombia,None
58,Gretai Securities Market,None
59,Prague Stock Exchange,None
60,Karachi Stock Exchange (Guarantee) Limited,None
61,Ice Futures U.S.,None
62,NO MARKET (E.G. UNLISTED),None
63,Chicago Mercantile Exchange,None
64,Non-Nms Quotation Service (Nnqs),None
65,Chicago Board Of Trade,None
66,Toronto Stock Exchange,None
67,Hong Kong Futures Exchange Ltd.,None
68,Korea Exchange (Futures Market),None
69,Singapore Exchange Derivatives Clearing Limited,None
70,NYSE Arca,None
71,Meff Renta Variable,None
72,The Montreal Exchange / Bourse De Montreal,None
73,Exchange,None
74,Mercado Mexicano De Derivados,None
75,Euronext Paris Monep,None
76,Kuwait Stock Exchange,None
77,Nairobi Stock Exchange,None
78,Casablanca Stock Exchange,None
79,Spot Regulated Market - Bvb,None
80,Dhaka Stock Exchange Ltd,None
81,Muscat Securities Market,None
82,Hochiminh Stock Exchange,None
83,Nigerian Stock Exchange,None
84,Colombo Stock Exchange,None
85,Bahrain Bourse,None
86,Amman Stock Exchange,None
87,Zagreb Stock Exchange,None
88,Nasdaq Omx Tallinn,None
89,Hanoi Stock Exchange,None
90,South African Futures Exchange,None
91,Italian Derivatives Market,None
92,Bse Ltd,None
93,Bolsa De Valores De Lima,None
